treebank,relation,layer,head,visibility,slice_value,accuracy,n_instances,slice_dimension
UD_Japanese-GSD,object_adj_to_noun,17,15,both_masked,1,0.3333333333333333,9,distance_bin
UD_Japanese-GSD,object_adj_to_noun,17,15,both_masked,3,0.0,3,distance_bin
UD_Japanese-GSD,object_det_to_noun,17,15,both_masked,1,0.0,24,distance_bin
UD_Japanese-GSD,object_det_to_noun,17,15,both_masked,2,0.0,3,distance_bin
UD_Japanese-GSD,object_to_verb,17,15,both_masked,2,0.008368200836820083,717,distance_bin
UD_Japanese-GSD,object_to_verb,17,15,both_masked,3,0.0,48,distance_bin
UD_Japanese-GSD,object_to_verb,17,15,both_masked,4-5,0.03125,96,distance_bin
UD_Japanese-GSD,object_to_verb,17,15,both_masked,6-8,0.0,33,distance_bin
UD_Japanese-GSD,object_to_verb,17,15,both_masked,9+,0.0,9,distance_bin
UD_Japanese-GSD,subject_adj_to_noun,17,15,both_masked,1,0.1,30,distance_bin
UD_Japanese-GSD,subject_adj_to_noun,17,15,both_masked,2,0.0,3,distance_bin
UD_Japanese-GSD,subject_det_to_noun,17,15,both_masked,1,0.0,42,distance_bin
UD_Japanese-GSD,subject_det_to_noun,17,15,both_masked,2,0.0,9,distance_bin
UD_Japanese-GSD,subject_to_verb,17,15,both_masked,2,0.006944444444444444,432,distance_bin
UD_Japanese-GSD,subject_to_verb,17,15,both_masked,3,0.0,81,distance_bin
UD_Japanese-GSD,subject_to_verb,17,15,both_masked,4-5,0.0,195,distance_bin
UD_Japanese-GSD,subject_to_verb,17,15,both_masked,6-8,0.02,150,distance_bin
UD_Japanese-GSD,subject_to_verb,17,15,both_masked,9+,0.0,300,distance_bin
UD_Japanese-GSD,object_adj_to_noun,17,15,both_masked,right,0.25,12,direction
UD_Japanese-GSD,object_det_to_noun,17,15,both_masked,right,0.0,27,direction
UD_Japanese-GSD,object_to_verb,17,15,both_masked,right,0.009966777408637873,903,direction
UD_Japanese-GSD,subject_adj_to_noun,17,15,both_masked,right,0.09090909090909091,33,direction
UD_Japanese-GSD,subject_det_to_noun,17,15,both_masked,right,0.0,51,direction
UD_Japanese-GSD,subject_to_verb,17,15,both_masked,right,0.0051813471502590676,1158,direction
UD_Japanese-GSD,object_adj_to_noun,17,15,both_masked,False,0.25,12,coordinated
UD_Japanese-GSD,object_det_to_noun,17,15,both_masked,False,0.0,27,coordinated
UD_Japanese-GSD,object_to_verb,17,15,both_masked,False,0.009966777408637873,903,coordinated
UD_Japanese-GSD,subject_adj_to_noun,17,15,both_masked,False,0.09090909090909091,33,coordinated
UD_Japanese-GSD,subject_det_to_noun,17,15,both_masked,False,0.0,51,coordinated
UD_Japanese-GSD,subject_to_verb,17,15,both_masked,False,0.0051813471502590676,1158,coordinated
UD_Japanese-GSD,object_adj_to_noun,17,15,both_masked,True,0.25,12,embedded_clause
UD_Japanese-GSD,object_det_to_noun,17,15,both_masked,True,0.0,27,embedded_clause
UD_Japanese-GSD,object_to_verb,17,15,both_masked,False,0.0,219,embedded_clause
UD_Japanese-GSD,object_to_verb,17,15,both_masked,True,0.013157894736842105,684,embedded_clause
UD_Japanese-GSD,subject_adj_to_noun,17,15,both_masked,True,0.09090909090909091,33,embedded_clause
UD_Japanese-GSD,subject_det_to_noun,17,15,both_masked,True,0.0,51,embedded_clause
UD_Japanese-GSD,subject_to_verb,17,15,both_masked,False,0.0,534,embedded_clause
UD_Japanese-GSD,subject_to_verb,17,15,both_masked,True,0.009615384615384616,624,embedded_clause
UD_Japanese-GSD,object_adj_to_noun,17,15,both_masked,False,0.25,12,relative_clause
UD_Japanese-GSD,object_det_to_noun,17,15,both_masked,False,0.0,27,relative_clause
UD_Japanese-GSD,object_to_verb,17,15,both_masked,False,0.009966777408637873,903,relative_clause
UD_Japanese-GSD,subject_adj_to_noun,17,15,both_masked,False,0.09090909090909091,33,relative_clause
UD_Japanese-GSD,subject_det_to_noun,17,15,both_masked,False,0.0,51,relative_clause
UD_Japanese-GSD,subject_to_verb,17,15,both_masked,False,0.0051813471502590676,1158,relative_clause
UD_Japanese-GSD,object_adj_to_noun,17,15,both_masked,False,0.25,12,passive_voice
UD_Japanese-GSD,object_det_to_noun,17,15,both_masked,False,0.0,27,passive_voice
UD_Japanese-GSD,object_to_verb,17,15,both_masked,False,0.009966777408637873,903,passive_voice
UD_Japanese-GSD,subject_adj_to_noun,17,15,both_masked,False,0.09090909090909091,33,passive_voice
UD_Japanese-GSD,subject_det_to_noun,17,15,both_masked,False,0.0,51,passive_voice
UD_Japanese-GSD,subject_to_verb,17,15,both_masked,False,0.0051813471502590676,1158,passive_voice
UD_Japanese-GSD,object_adj_to_noun,17,15,both_masked,False,0.3333333333333333,9,punctuation_between
UD_Japanese-GSD,object_adj_to_noun,17,15,both_masked,True,0.0,3,punctuation_between
UD_Japanese-GSD,object_det_to_noun,17,15,both_masked,False,0.0,27,punctuation_between
UD_Japanese-GSD,object_to_verb,17,15,both_masked,False,0.010309278350515464,873,punctuation_between
UD_Japanese-GSD,object_to_verb,17,15,both_masked,True,0.0,30,punctuation_between
UD_Japanese-GSD,subject_adj_to_noun,17,15,both_masked,False,0.09090909090909091,33,punctuation_between
UD_Japanese-GSD,subject_det_to_noun,17,15,both_masked,False,0.0,51,punctuation_between
UD_Japanese-GSD,subject_to_verb,17,15,both_masked,False,0.003194888178913738,939,punctuation_between
UD_Japanese-GSD,subject_to_verb,17,15,both_masked,True,0.0136986301369863,219,punctuation_between
