relation,layer,head,accuracy_select,n_correct_select,n_total_select,accuracy_test,n_correct_test,n_total_test,accuracy_dev,n_correct_dev,n_total_dev
object_to_verb,0,0,0.13507326007326007,590,4368,0.12558139534883722,135,1075,0.12962962962962962,140,1080
object_to_verb,0,1,0.08836996336996338,386,4368,0.08186046511627906,88,1075,0.08888888888888889,96,1080
object_to_verb,0,2,0.12477106227106227,545,4368,0.1330232558139535,143,1075,0.11851851851851852,128,1080
object_to_verb,0,3,0.0013736263736263737,6,4368,0.0018604651162790699,2,1075,0.002777777777777778,3,1080
object_to_verb,0,4,0.30952380952380953,1352,4368,0.29023255813953486,312,1075,0.29814814814814816,322,1080
object_to_verb,0,5,0.0885989010989011,387,4368,0.10511627906976745,113,1075,0.08703703703703704,94,1080
object_to_verb,0,6,0.14514652014652016,634,4368,0.12,129,1075,0.11574074074074074,125,1080
object_to_verb,0,7,0.3836996336996337,1676,4368,0.37209302325581395,400,1075,0.36574074074074076,395,1080
object_to_verb,0,8,0.10989010989010989,480,4368,0.10697674418604651,115,1075,0.09444444444444444,102,1080
object_to_verb,0,9,0.08836996336996338,386,4368,0.07813953488372093,84,1075,0.0824074074074074,89,1080
object_to_verb,0,10,0.07188644688644688,314,4368,0.06883720930232558,74,1075,0.07222222222222222,78,1080
object_to_verb,0,11,0.07257326007326008,317,4368,0.06325581395348837,68,1075,0.0712962962962963,77,1080
object_to_verb,1,0,0.1591117216117216,695,4368,0.16279069767441862,175,1075,0.1527777777777778,165,1080
object_to_verb,1,1,0.3788919413919414,1655,4368,0.40093023255813953,431,1075,0.3731481481481482,403,1080
object_to_verb,1,2,0.017857142857142856,78,4368,0.021395348837209303,23,1075,0.017592592592592594,19,1080
object_to_verb,1,3,0.051739926739926737,226,4368,0.05116279069767442,55,1075,0.049074074074074076,53,1080
object_to_verb,1,4,0.009615384615384616,42,4368,0.01674418604651163,18,1075,0.008333333333333333,9,1080
object_to_verb,1,5,0.10622710622710622,464,4368,0.09767441860465116,105,1075,0.08611111111111111,93,1080
object_to_verb,1,6,0.2007783882783883,877,4368,0.18232558139534882,196,1075,0.1685185185185185,182,1080
object_to_verb,1,7,0.029075091575091576,127,4368,0.026046511627906978,28,1075,0.027777777777777776,30,1080
object_to_verb,1,8,0.0521978021978022,228,4368,0.04744186046511628,51,1075,0.05555555555555555,60,1080
object_to_verb,1,9,0.022664835164835164,99,4368,0.025116279069767444,27,1075,0.021296296296296296,23,1080
object_to_verb,1,10,0.035256410256410256,154,4368,0.04,43,1075,0.037037037037037035,40,1080
object_to_verb,1,11,0.023122710622710624,101,4368,0.027906976744186046,30,1075,0.025925925925925925,28,1080
object_to_verb,2,0,0.26373626373626374,1152,4368,0.2297674418604651,247,1075,0.26296296296296295,284,1080
object_to_verb,2,1,0.05952380952380952,260,4368,0.052093023255813956,56,1075,0.06666666666666667,72,1080
object_to_verb,2,2,0.0022893772893772895,10,4368,0.0018604651162790699,2,1075,0.005555555555555556,6,1080
object_to_verb,2,3,0.29464285714285715,1287,4368,0.3311627906976744,356,1075,0.2935185185185185,317,1080
object_to_verb,2,4,0.011217948717948718,49,4368,0.012093023255813953,13,1075,0.011111111111111112,12,1080
object_to_verb,2,5,0.32234432234432236,1408,4368,0.35069767441860467,377,1075,0.31851851851851853,344,1080
object_to_verb,2,6,0.1891025641025641,826,4368,0.16465116279069766,177,1075,0.18981481481481483,205,1080
object_to_verb,2,7,0.01076007326007326,47,4368,0.013953488372093023,15,1075,0.014814814814814815,16,1080
object_to_verb,2,8,0.5785256410256411,2527,4368,0.5832558139534884,627,1075,0.5574074074074075,602,1080
object_to_verb,2,9,0.3315018315018315,1448,4368,0.3283720930232558,353,1075,0.3277777777777778,354,1080
object_to_verb,2,10,0.020604395604395604,90,4368,0.01953488372093023,21,1075,0.014814814814814815,16,1080
object_to_verb,2,11,0.04532967032967033,198,4368,0.04186046511627907,45,1075,0.03888888888888889,42,1080
object_to_verb,3,0,0.024725274725274724,108,4368,0.03162790697674418,34,1075,0.03333333333333333,36,1080
object_to_verb,3,1,0.14652014652014653,640,4368,0.13023255813953488,140,1075,0.1527777777777778,165,1080
object_to_verb,3,2,0.32646520146520147,1426,4368,0.35255813953488374,379,1075,0.32037037037037036,346,1080
object_to_verb,3,3,0.29212454212454214,1276,4368,0.2958139534883721,318,1075,0.28703703703703703,310,1080
object_to_verb,3,4,0.050824175824175824,222,4368,0.05488372093023256,59,1075,0.05555555555555555,60,1080
object_to_verb,3,5,0.06227106227106227,272,4368,0.06325581395348837,68,1075,0.07685185185185185,83,1080
object_to_verb,3,6,0.1259157509157509,550,4368,0.11627906976744186,125,1075,0.12129629629629629,131,1080
object_to_verb,3,7,0.4107142857142857,1794,4368,0.4232558139534884,455,1075,0.40370370370370373,436,1080
object_to_verb,3,8,0.49038461538461536,2142,4368,0.47162790697674417,507,1075,0.4842592592592593,523,1080
object_to_verb,3,9,0.4333791208791209,1893,4368,0.3869767441860465,416,1075,0.40925925925925927,442,1080
object_to_verb,3,10,0.06318681318681318,276,4368,0.06325581395348837,68,1075,0.06018518518518518,65,1080
object_to_verb,3,11,0.12774725274725274,558,4368,0.12558139534883722,135,1075,0.12314814814814815,133,1080
object_to_verb,4,0,0.8127289377289377,3550,4368,0.8018604651162791,862,1075,0.8101851851851852,875,1080
object_to_verb,4,1,0.391025641025641,1708,4368,0.3469767441860465,373,1075,0.3824074074074074,413,1080
object_to_verb,4,2,0.18681318681318682,816,4368,0.19162790697674417,206,1075,0.18518518518518517,200,1080
object_to_verb,4,3,0.18795787545787546,821,4368,0.1702325581395349,183,1075,0.17962962962962964,194,1080
object_to_verb,4,4,0.11744505494505494,513,4368,0.12651162790697673,136,1075,0.11203703703703703,121,1080
object_to_verb,4,5,0.23557692307692307,1029,4368,0.24651162790697675,265,1075,0.23148148148148148,250,1080
object_to_verb,4,6,0.1646062271062271,719,4368,0.14790697674418604,159,1075,0.18055555555555555,195,1080
object_to_verb,4,7,0.08058608058608059,352,4368,0.08651162790697674,93,1075,0.08518518518518518,92,1080
object_to_verb,4,8,0.07051282051282051,308,4368,0.06697674418604652,72,1075,0.07222222222222222,78,1080
object_to_verb,4,9,0.3331043956043956,1455,4368,0.30604651162790697,329,1075,0.3194444444444444,345,1080
object_to_verb,4,10,0.06845238095238096,299,4368,0.07534883720930233,81,1075,0.06574074074074074,71,1080
object_to_verb,4,11,0.32532051282051283,1421,4368,0.35348837209302325,380,1075,0.32037037037037036,346,1080
object_to_verb,5,0,0.011446886446886446,50,4368,0.0074418604651162795,8,1075,0.011111111111111112,12,1080
object_to_verb,5,1,0.0025183150183150185,11,4368,0.0018604651162790699,2,1075,0.002777777777777778,3,1080
object_to_verb,5,2,0.017628205128205128,77,4368,0.018604651162790697,20,1075,0.020370370370370372,22,1080
object_to_verb,5,3,0.1391941391941392,608,4368,0.09953488372093024,107,1075,0.13240740740740742,143,1080
object_to_verb,5,4,0.6398809523809523,2795,4368,0.6390697674418605,687,1075,0.5962962962962963,644,1080
object_to_verb,5,5,0.00434981684981685,19,4368,0.0018604651162790699,2,1075,0.003703703703703704,4,1080
object_to_verb,5,6,0.33539377289377287,1465,4368,0.36186046511627906,389,1075,0.3388888888888889,366,1080
object_to_verb,5,7,0.4993131868131868,2181,4368,0.4762790697674419,512,1075,0.4675925925925926,505,1080
object_to_verb,5,8,0.05746336996336996,251,4368,0.04744186046511628,51,1075,0.05555555555555555,60,1080
