model,relation,layer,head,head_test_acc,null_test_acc,margin,verdict
dream_7b,object_to_verb,2,11,0.8,0.3255813953488372,0.4215507910084819,survives
dream_7b,subject_det_to_noun,4,25,0.8323529411764706,0.6,0.1360404903980349,survives
dream_7b,object_det_to_noun,4,25,0.7893401015228426,0.5609137055837563,0.1372422707522759,survives
dream_7b,object_adj_to_noun,22,27,0.9008620689655172,0.8060344827586207,0.0021890128855441,survives
dream_7b,subject_to_verb,1,25,0.5150829562594268,0.4426847662141779,0.0183443694208864,survives
dream_7b,subject_adj_to_noun,22,27,0.8766233766233766,0.8116883116883117,-0.0547900052201488,not distinguishable
diffugpt,object_to_verb,4,0,0.8018604651162791,0.3237209302325581,0.4253483823620192,survives
diffugpt,object_det_to_noun,4,3,0.7233502538071066,0.5609137055837563,0.0680462577674787,survives
diffugpt,subject_to_verb,6,1,0.5588235294117647,0.4426847662141779,0.0621324766940754,survives
diffugpt,subject_det_to_noun,4,3,0.6529411764705882,0.6,-0.0520538570719484,not distinguishable
diffugpt,object_adj_to_noun,6,1,0.8103448275862069,0.8060344827586207,-0.0984460102583504,not distinguishable
diffugpt,subject_adj_to_noun,6,1,0.7012987012987013,0.8116883116883117,-0.2452996873861871,not distinguishable
