seed,treebank,relation,layer,head,visibility,accuracy,n_instances
42,UD_German-GSD,object_adj_to_noun,17,15,both_masked,0.0,75
42,UD_German-GSD,object_det_to_noun,17,15,both_masked,0.0,197
42,UD_German-GSD,object_to_verb,17,15,both_masked,0.18313253012048192,415
42,UD_German-GSD,subject_adj_to_noun,17,15,both_masked,0.041666666666666664,72
42,UD_German-GSD,subject_det_to_noun,17,15,both_masked,0.05725190839694656,262
42,UD_German-GSD,subject_to_verb,17,15,both_masked,0.1531413612565445,764
43,UD_German-GSD,object_adj_to_noun,17,15,both_masked,0.0,75
43,UD_German-GSD,object_det_to_noun,17,15,both_masked,0.0,197
43,UD_German-GSD,object_to_verb,17,15,both_masked,0.18313253012048192,415
43,UD_German-GSD,subject_adj_to_noun,17,15,both_masked,0.041666666666666664,72
43,UD_German-GSD,subject_det_to_noun,17,15,both_masked,0.05725190839694656,262
43,UD_German-GSD,subject_to_verb,17,15,both_masked,0.1531413612565445,764
44,UD_German-GSD,object_adj_to_noun,17,15,both_masked,0.0,75
44,UD_German-GSD,object_det_to_noun,17,15,both_masked,0.0,197
44,UD_German-GSD,object_to_verb,17,15,both_masked,0.18313253012048192,415
44,UD_German-GSD,subject_adj_to_noun,17,15,both_masked,0.041666666666666664,72
44,UD_German-GSD,subject_det_to_noun,17,15,both_masked,0.05725190839694656,262
44,UD_German-GSD,subject_to_verb,17,15,both_masked,0.1531413612565445,764
